Feature,Importance
Activity_corrected_to_sampling_date,147.16489
Variance_act,7.044315
Variance_inv,2.1616588
Lower_sampling_height,1.9813893
MEXT_Cs137,1.6132662
MEXT_Cs137_2011.3.11.corrected,1.5971953
modMEXT_Cs137_by_Kato_et_al._2019,1.4695765
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,1.3269745
MEXT_dose,1.1829482
Upper_sampling_height,1.0341884
Height_Elevation,0.76601887
LAI,0.75589687
Elevation,0.71679455
Inventory_corrected_to_sampling_date,0.70653725
Mushroom_animal_scientific_name_encoded,0.6781281
Parts_animal_encoded,0.6301478
Inventory,0.5478862
Mushroom_animal_name_encoded,0.4638617
Diameter_at_breast_height,0.39005184
Tree_height,0.34653828
MEXT_Cs134,0.33480328
Middle_sampling_soil_depth,0.224941
Tag,0.21616854
Minimum_act,0.20481475
Parts_encoded,0.16811912
Wild_Grown_mushroom_encoded,0.14268912
Lower_sampling_soil_depth,0.11514961
Maximum_act,0.11141224
Upper_sampling_soil_depth,0.098552346
Sampling_month,0.08815178
Middle_sampling_height,0.08488105
Corrected_day,0.07717862
Year_published,0.07500974
Leaf/ring_age,0.07083001
Sampling_day,0.06909054
Soil_profile_number,0.06664004
Mean_annual_temperature,0.06642035
Sampling_year,0.06440883
Corrected_month,0.064108595
Elevation_NLNI,0.06064028
Variance_type_inv_encoded,0.057200845
Minimum_inv,0.05567398
Leaf_habit_encoded,0.05484357
Distance_from_FDNPP,0.05465468
Longitude_(min),0.04913803
Corrected_year,0.048509613
Latitude_(sec),0.041513097
Latitude_(min),0.04074755
Position_on_slope_encoded,0.04031288
Leaf/ring_age_encoded,0.038951974
N_sample_act,0.03775494
Japan_mesh_code,0.03646465
Longitude_(deg),0.03600525
Latitude_(deg),0.03529952
Longitude_(sec),0.03298224
Tree_density,0.03214863
Maximum_inv,0.03172901
Mean_annual_precipitation,0.030202538
Stand_age,0.029200973
Thickness_type_litter_encoded,0.02734418
N_inv,0.025507005
Total_biomass,0.024936298
Site_name,0.02191733
Thickness_type_litter,0.01845714
Slope_aspect_encoded,0.0181685
Inventory_Soil_Tag,0.013881782
