Feature,Importance
Distance_from_FDNPP,3.6516714
Variance_type_inv_encoded,3.38601
N_inv,3.3782945
Activity_corrected_to_sampling_date,3.144027
Upper_sampling_soil_depth,3.000407
Middle_sampling_soil_depth,2.9605234
Longitude_(deg),2.923201
Position_on_slope_encoded,2.8657596
Lower_sampling_soil_depth,2.8178744
Latitude_(sec),2.7849681
MEXT_Cs137,2.782903
Maximum_act,2.768663
Site_name,2.736276
Stand_age,2.7263455
MEXT_dose,2.695618
Longitude_(min),2.6044755
Minimum_act,2.5065
Thickness_type_litter,2.4994748
Soil_profile_number,2.4985814
Mean_annual_precipitation,2.4694998
Elevation_NLNI,2.4417317
Thickness_type_litter_encoded,2.4415963
modMEXT_Cs137_by_Kato_et_al._2019,2.3722572
Sampling_year,2.3353786
MEXT_Cs137_2011.3.11.corrected,2.256246
Variance_act,2.229203
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,2.1778648
Slope_aspect_encoded,2.1751323
MEXT_Cs134,2.1603951
Inventory,2.1069927
Mean_annual_temperature,2.0770874
Longitude_(sec),1.9475104
Height_Elevation,1.8950531
Leaf_habit_encoded,1.87508
Total_biomass,1.8627974
Corrected_year,1.8595659
Parts_animal_encoded,1.7941548
Upper_sampling_height,1.7790437
LAI,1.6814717
Latitude_(min),1.6712286
Sampling_month,1.6349626
Inventory_corrected_to_sampling_date,1.5544637
Lower_sampling_height,1.5342119
Leaf/ring_age,1.1788589
Tag,1.1008071
Elevation,1.0599408
Minimum_inv,1.031859
Japan_mesh_code,0.970171
Latitude_(deg),0.90554285
Corrected_month,0.779901
N_sample_act,0.6666869
Diameter_at_breast_height,0.6421828
Mushroom_animal_scientific_name_encoded,0.6416146
Corrected_day,0.5973725
Mushroom_animal_name_encoded,0.5679067
Year_published,0.5071387
Parts_encoded,0.50257236
Tree_density,0.476646
Maximum_inv,0.45471287
Sampling_day,0.36531648
Wild_Grown_mushroom_encoded,0.29882485
Leaf/ring_age_encoded,0.24687818
Tree_height,0.24545062
Inventory_Soil_Tag,0.17446265
Variance_inv,0.09498394
Middle_sampling_height,0.050461996
