Latitude_(deg),Longitude_(deg),Actual,GCN_Predicted,Risk_Zone
0.1162115025968057,0.2161834437175819,6.2766434893416445,14.651649,High
0.1162115025968057,0.2161834437175819,6.113682179832232,14.651649,High
0.1162115025968057,0.2161834437175819,6.124683390894205,14.651649,High
0.1162115025968057,0.2161834437175819,4.882801922586371,14.651649,High
0.1162115025968057,0.2161834437175819,8.797948354937416,14.651649,High
0.1162115025968057,0.2161834437175819,4.186619838331271,6.470374,Low
0.1162115025968057,0.2161834437175819,6.113682179832232,6.548291,Low
0.1162115025968057,0.2161834437175819,5.488937726156687,6.5772915,Low
0.1162115025968057,0.2161834437175819,5.0238805208462765,7.2557273,High
-4.104539049018262,-3.078802130817175,4.875197323201151,8.767423,High
-4.104539049018262,-3.078802130817175,7.349873704738337,8.370272,High
0.1162115025968057,-3.078802130817175,5.204006687076795,4.8715262,Low
0.1162115025968057,0.2161834437175819,4.532599493153256,6.71486,Medium
0.1162115025968057,0.2161834437175819,11.46899447586426,6.9136963,High
0.1162115025968057,0.2161834437175819,8.830250570199247,6.8038244,High
0.1162115025968057,0.2161834437175819,4.142951995946158,6.6672115,Medium
0.1162115025968057,0.2161834437175819,8.444622498581403,7.3547125,High
0.1162115025968057,0.2161834437175819,4.204692619390966,6.5006876,Low
0.1162115025968057,0.2161834437175819,6.113682179832232,6.5631804,Low
0.1162115025968057,0.2161834437175819,7.31455283232408,6.711717,Medium
0.1162115025968057,0.2161834437175819,3.258096538021482,6.469882,Low
0.1162115025968057,0.2161834437175819,7.6787889981991535,6.651547,Medium
0.1162115025968057,0.2161834437175819,6.113682179832232,6.5426116,Low
0.1162115025968057,-3.078802130817175,5.44673737166631,5.048183,Low
0.1162115025968057,0.2161834437175819,4.955827057601261,6.7245636,Medium
0.1162115025968057,0.2161834437175819,7.566311014772463,6.694786,Medium
0.1162115025968057,0.2161834437175819,3.258096538021482,6.88985,High
0.1162115025968057,0.2161834437175819,7.898039690764619,6.5011272,Low
0.1162115025968057,0.2161834437175819,3.933263673001215,6.731306,Medium
0.1162115025968057,0.2161834437175819,6.113682179832232,6.55868,Low
0.1162115025968057,0.2161834437175819,5.834810737062605,7.247863,High
0.1162115025968057,0.2161834437175819,6.448889394146858,6.719322,Medium
-4.104539049018262,0.2161834437175819,4.5217885770490405,8.079397,High
0.1162115025968057,0.2161834437175819,7.245655067594535,6.688838,Medium
0.1162115025968057,-3.078802130817175,6.113682179832232,4.993528,Low
0.1162115025968057,0.2161834437175819,4.04305126783455,6.7679167,Medium
0.1162115025968057,0.2161834437175819,5.916202062607435,6.861294,High
0.1162115025968057,-3.078802130817175,6.113682179832232,4.956634,Low
0.1162115025968057,0.2161834437175819,6.113682179832232,6.7092547,Medium
0.1162115025968057,0.2161834437175819,6.113682179832232,6.5372553,Low
0.1162115025968057,0.2161834437175819,2.917770732084279,6.7037115,Medium
0.1162115025968057,0.2161834437175819,7.149131598557407,7.55885,High
0.1162115025968057,0.2161834437175819,6.113682179832232,6.720399,Medium
0.1162115025968057,0.2161834437175819,9.79823814181703,7.031804,High
0.1162115025968057,0.2161834437175819,2.4849066497880004,6.6279554,Low
0.1162115025968057,0.2161834437175819,10.34180699751524,7.320573,High
0.1162115025968057,0.2161834437175819,2.58820875799096,6.760898,Medium
0.1162115025968057,0.2161834437175819,6.113682179832232,6.5430355,Low
0.1162115025968057,0.2161834437175819,6.1779441140506,6.8829904,High
0.1162115025968057,0.2161834437175819,5.700443573390687,7.4023585,High
0.1162115025968057,0.2161834437175819,6.884486652042782,6.677968,Medium
0.1162115025968057,0.2161834437175819,2.6390573296152584,6.8913546,High
0.1162115025968057,0.2161834437175819,8.455743229100015,6.717495,Medium
0.1162115025968057,0.2161834437175819,0.6931471805599453,6.7390175,Medium
0.1162115025968057,0.2161834437175819,9.504873919377063,7.0642443,High
0.1162115025968057,0.2161834437175819,7.31455283232408,6.785943,Medium
0.1162115025968057,0.2161834437175819,2.4849066497880004,6.917245,High
0.1162115025968057,0.2161834437175819,6.86484777797086,6.7576113,Medium
0.1162115025968057,0.2161834437175819,10.79961639258633,7.22621,High
0.1162115025968057,0.2161834437175819,7.934513463882263,6.690261,Medium
0.1162115025968057,0.2161834437175819,8.243282523048375,7.3465943,High
0.1162115025968057,0.2161834437175819,5.537334267018537,7.391834,High
0.1162115025968057,0.2161834437175819,4.31748811353631,6.410858,Low
0.1162115025968057,0.2161834437175819,3.4657359027997265,6.441738,Low
0.1162115025968057,0.2161834437175819,3.9889840465642745,6.708069,Medium
0.1162115025968057,0.2161834437175819,9.181120554290926,9.072478,High
0.1162115025968057,0.2161834437175819,3.7612001156935615,6.6909466,Medium
0.1162115025968057,0.2161834437175819,8.317033476492403,6.8333797,High
0.1162115025968057,0.2161834437175819,8.016977746762262,7.068322,High
0.1162115025968057,0.2161834437175819,6.723832440821209,6.6606545,Medium
0.1162115025968057,0.2161834437175819,6.113682179832232,6.7383995,Medium
0.1162115025968057,0.2161834437175819,7.901747518520144,6.89363,High
0.1162115025968057,0.2161834437175819,8.187855443695623,6.8434696,High
0.1162115025968057,0.2161834437175819,8.102283624480073,6.745116,Medium
0.1162115025968057,0.2161834437175819,9.68046899341007,7.664505,High
0.1162115025968057,0.2161834437175819,10.24003121517787,7.0508695,High
0.1162115025968057,0.2161834437175819,8.434246270595311,6.77928,Medium
0.1162115025968057,0.2161834437175819,6.218600119691729,6.6095543,Low
0.1162115025968057,0.2161834437175819,8.57583938684897,7.311562,High
0.1162115025968057,0.2161834437175819,2.2607208888953467,6.5162754,Low
0.1162115025968057,0.2161834437175819,2.995732273553991,6.7730193,Medium
0.1162115025968057,0.2161834437175819,9.409355151711798,7.5223656,High
0.1162115025968057,0.2161834437175819,6.113682179832232,6.588979,Low
-1.9941637732107285,-3.078802130817175,2.079441541679836,5.088611,Low
0.1162115025968057,0.2161834437175819,8.412277021466677,7.034923,High
0.1162115025968057,0.2161834437175819,5.971261839790462,6.7554927,Medium
0.1162115025968057,0.2161834437175819,5.081404364984463,6.917523,High
0.1162115025968057,0.2161834437175819,0.6931471805599453,6.7201557,Medium
0.1162115025968057,0.2161834437175819,5.0238805208462765,7.070281,High
0.1162115025968057,0.2161834437175819,2.079441541679836,6.614274,Low
0.1162115025968057,0.2161834437175819,9.615938804529582,6.8869495,High
0.1162115025968057,0.2161834437175819,6.113682179832232,6.55223,Low
0.1162115025968057,0.2161834437175819,6.113682179832232,6.5051384,Low
0.1162115025968057,0.2161834437175819,7.171656822768514,6.4418864,Low
0.1162115025968057,0.2161834437175819,4.0943445622221,6.7850533,Medium
0.1162115025968057,0.2161834437175819,8.718849392907325,6.741851,Medium
0.1162115025968057,0.2161834437175819,4.804021044733257,6.738821,Medium
0.1162115025968057,0.2161834437175819,8.474703139795285,7.1705813,High
0.1162115025968057,0.2161834437175819,8.982435503560263,6.794694,Medium
4.336962054211874,3.5111690182523385,2.815408719422709,3.7942624,Low
0.1162115025968057,0.2161834437175819,9.770070439095775,7.427638,High
0.1162115025968057,0.2161834437175819,4.501502267296758,6.725069,Medium
-1.9941637732107285,-3.078802130817175,3.4339872044851463,4.600096,Low
0.1162115025968057,0.2161834437175819,6.113682179832232,6.778778,Medium
0.1162115025968057,0.2161834437175819,2.302585092994046,4.4805603,Low
0.1162115025968057,0.2161834437175819,10.571368205848186,7.447108,High
0.1162115025968057,0.2161834437175819,5.0238805208462765,7.1452723,High
0.1162115025968057,0.2161834437175819,8.216628493133443,7.2650986,High
0.1162115025968057,0.2161834437175819,6.3835066348840055,6.782415,Medium
0.1162115025968057,0.2161834437175819,7.86119079948352,7.5524597,High
0.1162115025968057,0.2161834437175819,4.580877493419047,6.479515,Low
0.1162115025968057,-3.078802130817175,6.113682179832232,4.9521017,Low
0.1162115025968057,0.2161834437175819,6.113682179832232,6.632719,Medium
0.1162115025968057,0.2161834437175819,6.648984550024776,6.7063465,Medium
0.1162115025968057,0.2161834437175819,7.266827347520591,6.658869,Medium
0.1162115025968057,0.2161834437175819,8.503499864284235,6.7866507,Medium
0.1162115025968057,0.2161834437175819,9.931686206894806,6.833263,High
0.1162115025968057,0.2161834437175819,3.346929616406618,6.7789707,Medium
0.1162115025968057,0.2161834437175819,4.634728988229636,6.550121,Low
0.1162115025968057,0.2161834437175819,10.36860426020847,6.856015,High
4.336962054211874,3.5111690182523385,3.634951112088381,3.9051654,Low
0.1162115025968057,0.2161834437175819,8.189244525735901,7.5514235,High
0.1162115025968057,0.2161834437175819,5.529429087511423,6.569526,Low
0.1162115025968057,0.2161834437175819,3.4657359027997265,6.653805,Medium
0.1162115025968057,0.2161834437175819,7.762596048540069,7.0624495,High
0.1162115025968057,0.2161834437175819,7.59270801532726,6.9135885,High
-1.9941637732107285,0.2161834437175819,6.113682179832232,5.26394,Low
0.1162115025968057,0.2161834437175819,2.772588722239781,6.5818396,Low
-4.104539049018262,0.2161834437175819,7.116394144093465,8.079397,High
0.1162115025968057,0.2161834437175819,7.25063551189868,7.2117863,High
0.1162115025968057,0.2161834437175819,4.605170185988092,6.5584664,Low
0.1162115025968057,0.2161834437175819,11.72805297348936,7.9906197,High
0.1162115025968057,0.2161834437175819,2.302585092994046,6.46263,Low
0.1162115025968057,0.2161834437175819,4.356708826689592,7.0597286,High
0.1162115025968057,0.2161834437175819,12.570722703538417,9.497554,High
0.1162115025968057,0.2161834437175819,5.0238805208462765,6.784362,Medium
0.1162115025968057,0.2161834437175819,6.75343791859778,7.3210044,High
0.1162115025968057,-3.078802130817175,3.8501476017100575,4.8715262,Low
0.1162115025968057,0.2161834437175819,11.373686385878235,7.6047945,High
0.1162115025968057,0.2161834437175819,4.61512051684126,6.6460347,Medium
0.1162115025968057,0.2161834437175819,2.5649493574615367,6.5087996,Low
0.1162115025968057,0.2161834437175819,6.113682179832232,6.534061,Low
0.1162115025968057,0.2161834437175819,5.8522024797744745,7.3150344,High
0.1162115025968057,0.2161834437175819,4.51085950651685,6.729075,Medium
0.1162115025968057,0.2161834437175819,9.615938804529582,8.162298,High
0.1162115025968057,0.2161834437175819,8.789050713521046,7.453939,High
0.1162115025968057,0.2161834437175819,7.43955930913332,7.321224,High
0.1162115025968057,0.2161834437175819,4.07753744390572,6.89845,High
0.1162115025968057,0.2161834437175819,10.695801104590572,8.014189,High
0.1162115025968057,0.2161834437175819,10.8474323611921,8.917841,High
0.1162115025968057,0.2161834437175819,6.113682179832232,6.4705143,Low
0.1162115025968057,0.2161834437175819,3.186352633162641,6.565628,Low
0.1162115025968057,0.2161834437175819,7.938088726896952,6.690717,Medium
0.1162115025968057,0.2161834437175819,5.236441962829949,6.670763,Medium
0.1162115025968057,-3.078802130817175,6.77078942390898,4.882697,Low
