Feature,Importance
Activity_corrected_to_sampling_date,4.192007
Variance_type_inv_encoded,4.0449657
N_inv,3.2711496
Site_name,3.1820607
Middle_sampling_soil_depth,3.110127
Latitude_(sec),3.0050328
MEXT_Cs137,2.984772
Soil_profile_number,2.9766886
Longitude_(deg),2.967523
Stand_age,2.9223928
Thickness_type_litter,2.7475219
MEXT_Cs137_2011.3.11.corrected,2.7341309
MEXT_Cs134,2.6880531
Upper_sampling_soil_depth,2.685522
modMEXT_Cs137_by_Kato_et_al._2019,2.6732957
Distance_from_FDNPP,2.5911076
Lower_sampling_soil_depth,2.560441
MEXT_dose,2.4321237
Thickness_type_litter_encoded,2.428708
Slope_aspect_encoded,2.4192448
Minimum_act,2.412103
Elevation_NLNI,2.3574858
Mean_annual_temperature,2.272131
Maximum_act,2.2661376
Longitude_(min),2.2580192
Upper_sampling_height,2.2381897
Mean_annual_precipitation,2.2310503
Lower_sampling_height,2.1249855
Parts_animal_encoded,2.1142259
Leaf_habit_encoded,2.0342853
Sampling_year,2.0331347
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,1.9890466
Position_on_slope_encoded,1.9751617
Inventory,1.9607335
Longitude_(sec),1.8703904
Japan_mesh_code,1.7821199
Sampling_month,1.7333279
Latitude_(min),1.7014809
Total_biomass,1.6539805
Corrected_year,1.5442785
Variance_act,1.4916363
Leaf/ring_age,1.4424347
Height_Elevation,1.4276592
LAI,1.3872557
Inventory_corrected_to_sampling_date,1.2331609
Corrected_month,1.1250505
Tag,1.0618479
Tree_height,1.0073696
Elevation,0.824147
Mushroom_animal_name_encoded,0.8197961
Latitude_(deg),0.8119392
Mushroom_animal_scientific_name_encoded,0.8030282
Minimum_inv,0.5796099
Corrected_day,0.5062326
Wild_Grown_mushroom_encoded,0.48680845
Tree_density,0.4856143
Maximum_inv,0.42439732
Year_published,0.4234547
Leaf/ring_age_encoded,0.37562734
Middle_sampling_height,0.36994153
Sampling_day,0.24892275
Diameter_at_breast_height,0.24549413
Parts_encoded,0.23402299
Variance_inv,0.12510855
Inventory_Soil_Tag,0.07198471
N_sample_act,0.067470334
