Feature,Importance
Activity_corrected_to_sampling_date,0.48466387
Parts_encoded,0.27497646
Soil_profile_number,0.2574091
Inventory,0.25221664
Inventory_corrected_to_sampling_date,0.2481366
MEXT_Cs137_2011.3.11.corrected,0.2045754
Middle_sampling_soil_depth,0.16914733
Variance_act,0.1650978
Variance_inv,0.14580686
Corrected_month,0.13784051
Thickness_type_litter_encoded,0.13016683
Thickness_type_litter,0.11439763
N_sample_act,0.11336219
Mean_annual_temperature,0.11173622
Lower_sampling_soil_depth,0.111147575
Tree_density,0.110675536
Stand_age,0.109537646
Height_Elevation,0.107314974
Mushroom_animal_scientific_name_encoded,0.106568806
Leaf_habit_encoded,0.106374234
Sampling_year,0.10599791
Leaf/ring_age_encoded,0.10552406
Maximum_act,0.104125254
Upper_sampling_soil_depth,0.10190692
N_inv,0.10106139
Position_on_slope_encoded,0.099767484
Elevation,0.097118326
Distance_from_FDNPP,0.09698951
Variance_type_inv_encoded,0.0946995
Tag,0.09427756
Year_published,0.09316283
Minimum_inv,0.09269489
modMEXT_Cs137_by_Kato_et_al._2019,0.09237108
Longitude_(deg),0.09220708
MEXT_Cs134,0.091445744
Mean_annual_precipitation,0.08925007
Parts_animal_encoded,0.0887849
Leaf/ring_age,0.088396944
Upper_sampling_height,0.088024266
Longitude_(min),0.08724896
Lower_sampling_height,0.08374655
Inventory_Soil_Tag,0.0836295
Diameter_at_breast_height,0.082790725
Sampling_month,0.08210148
Middle_sampling_height,0.08193754
Mushroom_animal_name_encoded,0.08077949
Japan_mesh_code,0.07987435
Slope_aspect_encoded,0.079671964
Tree_height,0.078583464
Site_name,0.07737035
Corrected_year,0.076002076
Longitude_(sec),0.07535778
Latitude_(deg),0.07388839
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,0.073506474
MEXT_dose,0.073236555
Sampling_day,0.07245359
MEXT_Cs137,0.07244445
Wild_Grown_mushroom_encoded,0.07192701
Elevation_NLNI,0.07045238
Latitude_(min),0.06877307
Minimum_act,0.068260945
Corrected_day,0.06806113
Maximum_inv,0.06705875
Total_biomass,0.06536014
Latitude_(sec),0.06437104
LAI,0.057868544
