Latitude_(deg),Longitude_(deg),Activity_concentration,Distance_from_FDNPP,Total_biomass,Tree_height,Elevation,Mushroom_animal_name,Variance_type_inv,Wild_Grown_mushroom,Leaf/ring_age,Slope_aspect,Position_on_slope,Thickness_type_litter,Leaf_habit,Parts_animal,Mushroom_animal_scientific_name,Parts
,,2.8449093838194073,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,3.1780538303479458,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,5.886104031450156,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,3.6635616461296463,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,3.258096538021482,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,2.4336133554004498,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,3.529297384289471,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,4.505349850705881,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,4.273884476054178,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,5.241747015059643,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,2.5649493574615367,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,6.089044875446846,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,2.7343675094195836,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,2.206074192613202,,,,,Amitake,,Mushroombed grown,,,,,,,Suillus bovinus,
,,2.3702437414678603,,,,,Amitake,,Mushroombed grown,,,,,,,Suillus bovinus,
,,3.0155349008501706,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,3.8501476017100584,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,4.574710978503383,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,2.9444389791664403,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,5.384495062789089,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,5.673323267171493,,,,,Amitake,,,,,,,,,Suillus bovinus,
,,0.0,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,0.0,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,0.0,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,0.0,,,,,Amitake,,Wild,,,,,,,Suillus bovinus,
,,0.0,,,,,Amitake,,Mushroombed grown,,,,,,,Suillus bovinus,
,,4.441474093317302,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,4.4796069630127455,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,4.127134385045092,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,3.4372078191851885,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,2.9069010598473755,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,3.4011973816621555,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,3.703768066607687,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,4.2710950739666,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,5.1647859739235145,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,5.8664680569332965,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,3.6635616461296463,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,3.3568971227655755,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,3.5890591188317256,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,4.549657476057832,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,3.8308129500026027,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,4.255612709818223,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,2.803360380906535,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,4.51852237926242,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,3.6136169696133895,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,4.3489867805956814,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,4.882801922586371,,,,,Koutake,,Wild,,,,,,,Sarcodon aspratus,
,,2.468099531471619,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,4.000033882750859,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,5.332718793265369,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,3.6375861597263857,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,4.1059436980654525,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,4.350277936359301,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,3.7256934272366524,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,6.634633357861686,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,4.61512051684126,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,3.5145260669691587,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,3.7999735016195233,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,3.7376696182833684,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,2.3933394562625097,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,3.0349529867072724,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,3.735285826928092,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,3.9080149840306073,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,3.4468078929142076,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,3.893859034800475,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,4.110873864173311,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,3.8480176754522337,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,0.0,,,,,Koutake,,,,,,,,,Sarcodon aspratus,
,,0.0,,,,,Koutake,,Mushroombed grown,,,,,,,Sarcodon aspratus,
,,1.7595805708638197,,,,,Sakurashimeji,,Wild,,,,,,,Hygrophorus russula,
,,2.8903717578961645,,,,,Sakurashimeji,,,,,,,,,Hygrophorus russula,
,,2.379546134130174,,,,,Sakurashimeji,,Wild,,,,,,,Hygrophorus russula,
,,3.845883202923601,,,,,Sakurashimeji,,Wild,,,,,,,Hygrophorus russula,
,,4.375757021660286,,,,,Sakurashimeji,,Wild,,,,,,,Hygrophorus russula,
,,4.3694478524670215,,,,,Sakurashimeji,,Wild,,,,,,,Hygrophorus russula,
,,3.8155121050473024,,,,,Sakurashimeji,,,,,,,,,Hygrophorus russula,
,,4.290459441148391,,,,,Sakurashimeji,,Wild,,,,,,,Hygrophorus russula,
