Latitude_(deg),Longitude_(deg),Activity_concentration,Distance_from_FDNPP,Total_biomass,Tree_height,Elevation,Mushroom_animal_name_encoded,Variance_type_inv_encoded,Wild_Grown_mushroom_encoded,Leaf/ring_age_encoded,Slope_aspect_encoded,Position_on_slope_encoded,Thickness_type_litter_encoded,Leaf_habit_encoded,Parts_animal_encoded,Mushroom_animal_scientific_name_encoded,Parts_encoded
37.0,140.0,7.109879463072272,30.25,,15.0,86.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,5.214935757608986,17.81,,23.0,224.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,5.204006687076795,17.81,,23.0,224.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,8.345692873253865,17.81,,23.0,224.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,6.173786103901937,17.81,,25.0,224.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,6.720220155135295,17.81,,25.0,224.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,8.72518249495877,17.81,,25.0,224.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,5.2832037287379885,17.81,,25.0,206.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,6.921658184151129,17.81,,25.0,206.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,9.043340831280013,17.81,,25.0,206.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,5.860786223465865,30.25,,9.0,85.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,7.160845906664299,30.25,,9.0,85.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,7.845807502637805,30.25,,9.0,85.0,129,1,1,43,7,7,58,0,0,191,1
37.0,140.0,5.568344503761097,30.25,,9.0,83.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,5.916202062607435,30.25,,9.0,83.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,7.831617276352611,30.25,,9.0,83.0,129,1,1,43,7,7,58,0,0,191,1
37.0,140.0,4.795790545596741,30.25,,19.0,73.6,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,6.042632833682381,30.25,,19.0,73.6,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,7.489412083508719,30.25,,19.0,73.6,129,1,1,43,7,7,58,0,0,191,1
37.0,140.0,5.942799375126701,21.5,,13.0,162.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,6.218600119691729,21.5,,13.0,162.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,7.963807953231451,21.5,,13.0,162.0,129,1,1,43,7,7,58,0,0,191,1
37.0,140.0,3.8918202981106265,20.98,,14.0,151.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,5.056245805348308,20.98,,14.0,151.0,129,1,1,43,7,7,58,0,0,191,33
37.0,140.0,7.05617528410041,20.98,,14.0,151.0,129,1,1,43,7,7,58,0,0,191,1
